Disease,symptoms,Description,precautions,medications,procedures,specialist
hepatitis d,"joint_pain,  vomiting,  fatigue,  yellowish_skin,  dark_urine,  nausea,  abdominal_pain,  yellowing_of_eyes, joint_pain,  vomiting,  fatigue,  yellowish_skin,  dark_urine,  loss_of_appetite,  abdominal_pain,  yellowing_of_eyes, joint_pain,  vomiting,  yellowish_skin,  dark_urine,  nausea,  loss_of_appetite,  abdominal_pain,  yellowing_of_eyes, vomiting,  fatigue,  yellowish_skin,  dark_urine,  nausea,  loss_of_appetite,  abdominal_pain,  yellowing_of_eyes, joint_pain,  vomiting,  fatigue,  yellowish_skin,  dark_urine,  nausea,  loss_of_appetite,  yellowing_of_eyes, joint_pain,  vomiting,  fatigue,  yellowish_skin,  dark_urine,  nausea,  loss_of_appetite,  abdominal_pain,  yellowing_of_eyes, joint_pain,  vomiting,  fatigue,  yellowish_skin,  dark_urine,  nausea,  loss_of_appetite,  abdominal_pain, joint_pain,  vomiting,  fatigue,  dark_urine,  nausea,  loss_of_appetite,  abdominal_pain,  yellowing_of_eyes, joint_pain,  fatigue,  yellowish_skin,  dark_urine,  nausea,  loss_of_appetite,  abdominal_pain,  yellowing_of_eyes, joint_pain,  vomiting,  fatigue,  yellowish_skin,  nausea,  loss_of_appetite,  abdominal_pain,  yellowing_of_eyes","Hepatitis D, also known as the hepatitis delta virus, is an infection that causes the liver to become inflamed. This swelling can impair liver function and cause long-term liver problems, including liver scarring and cancer. The condition is caused by the hepatitis D virus (HDV).","consult doctor, medication, eat healthy, follow up",Pegylated interferon alpha | Antiviral therapy | Liver transplant if severe,Liver function tests | HDV RNA testing | Liver biopsy,Hepatologist
hepatitis e,"joint_pain,  vomiting,  fatigue,  high_fever,  dark_urine,  nausea,  loss_of_appetite,  abdominal_pain,  yellowing_of_eyes,  acute_liver_failure,  coma,  stomach_bleeding, joint_pain,  fatigue,  high_fever,  yellowish_skin,  dark_urine,  nausea,  loss_of_appetite,  abdominal_pain,  yellowing_of_eyes,  acute_liver_failure,  coma,  stomach_bleeding, joint_pain,  vomiting,  fatigue,  high_fever,  yellowish_skin,  dark_urine,  nausea,  loss_of_appetite,  abdominal_pain,  yellowing_of_eyes,  acute_liver_failure,  coma,  stomach_bleeding, joint_pain,  vomiting,  fatigue,  high_fever,  yellowish_skin,  dark_urine,  nausea,  loss_of_appetite,  abdominal_pain,  yellowing_of_eyes,  coma,  stomach_bleeding, joint_pain,  vomiting,  fatigue,  yellowish_skin,  dark_urine,  nausea,  loss_of_appetite,  abdominal_pain,  yellowing_of_eyes,  acute_liver_failure,  coma,  stomach_bleeding, vomiting,  fatigue,  high_fever,  yellowish_skin,  dark_urine,  nausea,  loss_of_appetite,  abdominal_pain,  yellowing_of_eyes,  acute_liver_failure,  coma,  stomach_bleeding, joint_pain,  vomiting,  high_fever,  yellowish_skin,  dark_urine,  nausea,  loss_of_appetite,  abdominal_pain,  yellowing_of_eyes,  acute_liver_failure,  coma,  stomach_bleeding, joint_pain,  vomiting,  fatigue,  high_fever,  yellowish_skin,  dark_urine,  loss_of_appetite,  abdominal_pain,  yellowing_of_eyes,  acute_liver_failure,  coma,  stomach_bleeding, joint_pain,  vomiting,  fatigue,  high_fever,  yellowish_skin,  nausea,  loss_of_appetite,  abdominal_pain,  yellowing_of_eyes,  acute_liver_failure,  coma,  stomach_bleeding",A rare form of liver inflammation caused by infection with the hepatitis E virus (HEV). It is transmitted via food or drink handled by an infected person or through infected water supplies in areas where fecal matter may get into the water. Hepatitis E does not cause chronic liver disease.,"stop alcohol consumption, rest, consult doctor, medication",Supportive care | Ribavirin in severe cases | Liver transplant if needed,Liver function tests | HEV RNA testing | Ultrasound,Hepatologist 
hypertension,"headache,  dizziness,  loss_of_balance,  lack_of_concentration, headache,  chest_pain,  dizziness,  loss_of_balance,  lack_of_concentration, headache,  chest_pain,  dizziness,  loss_of_balance, headache,  chest_pain,  dizziness,  lack_of_concentration, headache,  chest_pain,  loss_of_balance,  lack_of_concentration, chest_pain,  dizziness,  loss_of_balance,  lack_of_concentration","Hypertension (HTN or HT), also known as high blood pressure (HBP), is a long-term medical condition in which the blood pressure in the arteries is persistently elevated. High blood pressure typically does not cause symptoms.","meditation, salt baths, reduce stress, get proper sleep","ACE inhibitors (e.g., Lisinopril 10-40mg daily) | Calcium channel blockers (e.g., Amlodipine 5-10mg daily) | Diuretics (e.g., Hydrochlorothiazide 12.5-25mg daily)",Regular blood pressure monitoring | Lifestyle modification assessment | Cardiac stress test if indicated,"Cardiologist for severe cases, Primary Care Physician for mild cases"
hyperthyroidism,"fatigue,  mood_swings,  weight_loss,  restlessness,  sweating,  diarrhoea,  excessive_hunger,  muscle_weakness,  irritability,  abnormal_menstruation, mood_swings,  weight_loss,  restlessness,  sweating,  diarrhoea,  fast_heart_rate,  excessive_hunger,  muscle_weakness,  irritability,  abnormal_menstruation, fatigue,  mood_swings,  weight_loss,  restlessness,  sweating,  fast_heart_rate,  excessive_hunger,  muscle_weakness,  irritability,  abnormal_menstruation, fatigue,  weight_loss,  restlessness,  sweating,  diarrhoea,  fast_heart_rate,  excessive_hunger,  muscle_weakness,  irritability,  abnormal_menstruation, fatigue,  mood_swings,  restlessness,  sweating,  diarrhoea,  fast_heart_rate,  excessive_hunger,  muscle_weakness,  irritability,  abnormal_menstruation, fatigue,  mood_swings,  weight_loss,  restlessness,  sweating,  diarrhoea,  fast_heart_rate,  muscle_weakness,  irritability,  abnormal_menstruation, fatigue,  mood_swings,  weight_loss,  sweating,  diarrhoea,  fast_heart_rate,  excessive_hunger,  muscle_weakness,  irritability,  abnormal_menstruation, fatigue,  mood_swings,  weight_loss,  restlessness,  sweating,  diarrhoea,  fast_heart_rate,  excessive_hunger,  muscle_weakness,  irritability,  abnormal_menstruation, fatigue,  mood_swings,  weight_loss,  restlessness,  diarrhoea,  fast_heart_rate,  excessive_hunger,  muscle_weakness,  irritability,  abnormal_menstruation","Hyperthyroidism (overactive thyroid) occurs when your thyroid gland produces too much of the hormone thyroxine. Hyperthyroidism can accelerate your body's metabolism, causing unintentional weight loss and a rapid or irregular heartbeat.","eat healthy, massage, use lemon balm, take radioactive iodine treatment",Methimazole 5-60mg daily | Propranolol 10-40mg three times daily | Radioactive iodine therapy if needed,TSH testing | T3/T4 testing | Thyroid scan | Radioactive iodine uptake test,Endocrinologist
hypoglycemia,"vomiting,  fatigue,  anxiety,  sweating,  nausea,  blurred_and_distorted_vision,  excessive_hunger,  drying_and_tingling_lips,  slurred_speech,  irritability,  palpitations, fatigue,  anxiety,  sweating,  headache,  nausea,  blurred_and_distorted_vision,  excessive_hunger,  drying_and_tingling_lips,  slurred_speech,  irritability,  palpitations, vomiting,  fatigue,  anxiety,  sweating,  headache,  nausea,  blurred_and_distorted_vision,  excessive_hunger,  drying_and_tingling_lips,  slurred_speech,  irritability,  palpitations, vomiting,  fatigue,  anxiety,  headache,  nausea,  blurred_and_distorted_vision,  excessive_hunger,  drying_and_tingling_lips,  slurred_speech,  irritability,  palpitations, vomiting,  fatigue,  anxiety,  sweating,  headache,  nausea,  excessive_hunger,  drying_and_tingling_lips,  slurred_speech,  irritability,  palpitations, vomiting,  fatigue,  anxiety,  sweating,  headache,  blurred_and_distorted_vision,  excessive_hunger,  drying_and_tingling_lips,  slurred_speech,  irritability,  palpitations, vomiting,  fatigue,  sweating,  headache,  nausea,  blurred_and_distorted_vision,  excessive_hunger,  drying_and_tingling_lips,  slurred_speech,  irritability,  palpitations, vomiting,  anxiety,  sweating,  headache,  nausea,  blurred_and_distorted_vision,  excessive_hunger,  drying_and_tingling_lips,  slurred_speech,  irritability,  palpitations, vomiting,  fatigue,  anxiety,  sweating,  headache,  nausea,  blurred_and_distorted_vision,  excessive_hunger,  slurred_speech,  irritability,  palpitations", Hypoglycemia is a condition in which your blood sugar (glucose) level is lower than normal. Glucose is your body's main energy source. Hypoglycemia is often related to diabetes treatment. But other drugs and a variety of conditions — many rare — can cause low blood sugar in people who don't have diabetes.,"lie down on side, check in pulse, drink sugary drinks, consult doctor",,,
hypothyroidism,"fatigue,  weight_gain,  cold_hands_and_feets,  mood_swings,  lethargy,  puffy_face_and_eyes,  enlarged_thyroid,  brittle_nails,  swollen_extremeties,  depression,  irritability,  abnormal_menstruation, fatigue,  weight_gain,  cold_hands_and_feets,  lethargy,  dizziness,  puffy_face_and_eyes,  enlarged_thyroid,  brittle_nails,  swollen_extremeties,  depression,  irritability,  abnormal_menstruation, fatigue,  weight_gain,  mood_swings,  lethargy,  dizziness,  puffy_face_and_eyes,  enlarged_thyroid,  brittle_nails,  swollen_extremeties,  depression,  irritability,  abnormal_menstruation, fatigue,  cold_hands_and_feets,  mood_swings,  lethargy,  dizziness,  puffy_face_and_eyes,  enlarged_thyroid,  brittle_nails,  swollen_extremeties,  depression,  irritability,  abnormal_menstruation, fatigue,  weight_gain,  cold_hands_and_feets,  mood_swings,  dizziness,  puffy_face_and_eyes,  enlarged_thyroid,  brittle_nails,  swollen_extremeties,  depression,  irritability,  abnormal_menstruation, fatigue,  weight_gain,  cold_hands_and_feets,  mood_swings,  lethargy,  dizziness,  enlarged_thyroid,  brittle_nails,  swollen_extremeties,  depression,  irritability,  abnormal_menstruation, fatigue,  weight_gain,  cold_hands_and_feets,  mood_swings,  lethargy,  dizziness,  puffy_face_and_eyes,  enlarged_thyroid,  brittle_nails,  swollen_extremeties,  depression,  irritability,  abnormal_menstruation, weight_gain,  cold_hands_and_feets,  mood_swings,  lethargy,  dizziness,  puffy_face_and_eyes,  enlarged_thyroid,  brittle_nails,  swollen_extremeties,  depression,  irritability,  abnormal_menstruation","Hypothyroidism, also called underactive thyroid or low thyroid, is a disorder of the endocrine system in which the thyroid gland does not produce enough thyroid hormone.","reduce stress, exercise, eat healthy, get proper sleep",Levothyroxine 25-200mcg daily | Regular dose adjustments based on TSH levels,TSH testing | T4 testing | Thyroid ultrasound if needed,Endocrinologist
impetigo,"skin_rash,  high_fever,  red_sore_around_nose,  yellow_crust_ooze, skin_rash,  high_fever,  blister,  red_sore_around_nose, skin_rash,  high_fever,  blister,  yellow_crust_ooze, skin_rash,  blister,  red_sore_around_nose,  yellow_crust_ooze, high_fever,  blister,  red_sore_around_nose,  yellow_crust_ooze, skin_rash,  high_fever,  blister,  red_sore_around_nose,  yellow_crust_ooze","Impetigo (im-puh-TIE-go) is a common and highly contagious skin infection that mainly affects infants and children. Impetigo usually appears as red sores on the face, especially around a child's nose and mouth, and on hands and feet. The sores burst and develop honey-colored crusts.","soak affected area in warm water, use antibiotics, remove scabs with wet compressed cloth, consult doctor","Topical antibiotics (e.g., Mupirocin 2% ointment) | Oral antibiotics if severe (e.g., Cephalexin 250-500mg four times daily)",Skin swab for culture | Clinical examination,Dermatologist or Primary Care Physician
jaundice,"itching,  fatigue,  weight_loss,  high_fever,  yellowish_skin,  dark_urine,  abdominal_pain, itching,  vomiting,  weight_loss,  high_fever,  yellowish_skin,  dark_urine,  abdominal_pain, itching,  vomiting,  fatigue,  weight_loss,  high_fever,  yellowish_skin,  abdominal_pain, itching,  vomiting,  fatigue,  weight_loss,  high_fever,  yellowish_skin,  dark_urine,  abdominal_pain, itching,  vomiting,  fatigue,  high_fever,  yellowish_skin,  dark_urine,  abdominal_pain, itching,  vomiting,  fatigue,  weight_loss,  high_fever,  dark_urine,  abdominal_pain, vomiting,  fatigue,  weight_loss,  high_fever,  yellowish_skin,  dark_urine,  abdominal_pain, itching,  vomiting,  fatigue,  weight_loss,  yellowish_skin,  dark_urine,  abdominal_pain, itching,  vomiting,  fatigue,  weight_loss,  high_fever,  yellowish_skin,  dark_urine","Yellow staining of the skin and sclerae (the whites of the eyes) by abnormally high blood levels of the bile pigment bilirubin. The yellowing extends to other tissues and body fluids. Jaundice was once called the ""morbus regius"" (the regal disease) in the belief that only the touch of a king could cure it","drink plenty of water, consume milk thistle, eat fruits and high fiberous food, medication",Ursodeoxycholic acid 10-15mg/kg daily | Vitamin K if needed | Antiviral medications if viral hepatitis,Liver function tests | Ultrasound of liver | Liver biopsy if indicated,Hepatologist or Gastroenterologist
malaria,"chills,  vomiting,  sweating,  headache,  nausea,  diarrhoea,  muscle_pain, chills,  high_fever,  sweating,  headache,  nausea,  diarrhoea,  muscle_pain, chills,  vomiting,  high_fever,  sweating,  headache,  diarrhoea,  muscle_pain, chills,  vomiting,  high_fever,  headache,  nausea,  diarrhoea,  muscle_pain, chills,  vomiting,  high_fever,  sweating,  nausea,  diarrhoea,  muscle_pain, vomiting,  high_fever,  sweating,  headache,  nausea,  diarrhoea,  muscle_pain, chills,  vomiting,  high_fever,  sweating,  headache,  nausea,  muscle_pain, chills,  vomiting,  high_fever,  sweating,  headache,  nausea,  diarrhoea,  muscle_pain",An infectious disease caused by protozoan parasites from the Plasmodium family that can be transmitted by the bite of the Anopheles mosquito or by a contaminated needle or transfusion. Falciparum malaria is the most deadly type.,"Consult nearest hospital, avoid oily food, avoid non veg food, keep mosquitos out","Artemisinin-based combination therapy | Chloroquine 600mg base, then 300mg base at 6, 24, and 48 hours | Primaquine 15mg daily for 14 days",Blood smear examination | Rapid diagnostic test | Complete blood count,Infectious Disease Specialist
migraine,"acidity,  indigestion,  headache,  blurred_and_distorted_vision,  stiff_neck,  depression,  irritability,  visual_disturbances, acidity,  indigestion,  headache,  blurred_and_distorted_vision,  excessive_hunger,  stiff_neck,  depression,  irritability,  visual_disturbances, acidity,  indigestion,  headache,  excessive_hunger,  stiff_neck,  depression,  irritability,  visual_disturbances, acidity,  indigestion,  headache,  blurred_and_distorted_vision,  excessive_hunger,  stiff_neck,  depression,  irritability, indigestion,  headache,  blurred_and_distorted_vision,  excessive_hunger,  stiff_neck,  depression,  irritability,  visual_disturbances, acidity,  indigestion,  headache,  blurred_and_distorted_vision,  excessive_hunger,  stiff_neck,  irritability,  visual_disturbances, acidity,  headache,  blurred_and_distorted_vision,  excessive_hunger,  stiff_neck,  depression,  irritability,  visual_disturbances, acidity,  indigestion,  blurred_and_distorted_vision,  excessive_hunger,  stiff_neck,  depression,  irritability,  visual_disturbances, acidity,  indigestion,  headache,  blurred_and_distorted_vision,  excessive_hunger,  stiff_neck,  depression,  visual_disturbances, acidity,  indigestion,  headache,  blurred_and_distorted_vision,  excessive_hunger,  depression,  irritability,  visual_disturbances","A migraine can cause severe throbbing pain or a pulsing sensation, usually on one side of the head. It's often accompanied by nausea, vomiting, and extreme sensitivity to light and sound. Migraine attacks can last for hours to days, and the pain can be so severe that it interferes with your daily activities.","meditation, reduce stress, use poloroid glasses in sun, consult doctor","Triptans (e.g., Sumatriptan 50-100mg as needed) | NSAIDs (e.g., Ibuprofen 400-800mg as needed) | Preventive medications (e.g., Propranolol 40-160mg daily)",Trigger identification and management | Lifestyle modification | Stress management techniques,Neurologist specializing in headache disorders
osteoarthristis,"joint_pain,  neck_pain,  knee_pain,  hip_joint_pain,  swelling_joints, joint_pain,  neck_pain,  knee_pain,  swelling_joints,  painful_walking, neck_pain,  knee_pain,  hip_joint_pain,  swelling_joints,  painful_walking, joint_pain,  neck_pain,  knee_pain,  hip_joint_pain,  painful_walking, joint_pain,  neck_pain,  knee_pain,  hip_joint_pain,  swelling_joints,  painful_walking, joint_pain,  neck_pain,  hip_joint_pain,  swelling_joints,  painful_walking, joint_pain,  knee_pain,  hip_joint_pain,  swelling_joints,  painful_walking","Osteoarthritis is the most common form of arthritis, affecting millions of people worldwide. It occurs when the protective cartilage that cushions the ends of your bones wears down over time.","acetaminophen, consult nearest hospital, follow up, salt baths",,,
paralysis (brain hemorrhage),"vomiting,  headache,  weakness_of_one_body_side, vomiting,  headache,  altered_sensorium, vomiting,  headache,  weakness_of_one_body_side,  altered_sensorium, headache,  weakness_of_one_body_side,  altered_sensorium, vomiting,  weakness_of_one_body_side,  altered_sensorium","Intracerebral hemorrhage (ICH) is when blood suddenly bursts into brain tissue, causing damage to your brain. Symptoms usually appear suddenly during ICH. They include headache, weakness, confusion, and paralysis, particularly on one side of your body.","massage, eat healthy, exercise, consult doctor",Blood pressure control medications | Anticoagulants if needed | Anti-seizure medications if indicated,CT scan | MRI | Angiography,Neurologist or Neurosurgeon
peptic ulcer diseae,"vomiting,  indigestion,  loss_of_appetite,  abdominal_pain,  internal_itching, indigestion,  loss_of_appetite,  abdominal_pain,  passage_of_gases,  internal_itching, vomiting,  indigestion,  loss_of_appetite,  passage_of_gases,  internal_itching, vomiting,  indigestion,  loss_of_appetite,  abdominal_pain,  passage_of_gases, vomiting,  indigestion,  loss_of_appetite,  abdominal_pain,  passage_of_gases,  internal_itching, vomiting,  loss_of_appetite,  abdominal_pain,  passage_of_gases,  internal_itching, vomiting,  indigestion,  abdominal_pain,  passage_of_gases,  internal_itching","Peptic ulcer disease (PUD) is a break in the inner lining of the stomach, the first part of the small intestine, or sometimes the lower esophagus. An ulcer in the stomach is called a gastric ulcer, while one in the first part of the intestines is a duodenal ulcer.","avoid fatty spicy food, consume probiotic food, eliminate milk, limit alcohol","Proton pump inhibitors (e.g., Omeprazole 20-40mg daily) | H2 blockers (e.g., Ranitidine 150mg twice daily) | Antibiotics if H. pylori positive",Endoscopy | H. pylori testing | Biopsy if needed,Gastroenterologist
pneumonia,"chills,  fatigue,  cough,  breathlessness,  sweating,  malaise,  phlegm,  chest_pain,  fast_heart_rate,  rusty_sputum, chills,  cough,  high_fever,  breathlessness,  sweating,  malaise,  phlegm,  chest_pain,  fast_heart_rate,  rusty_sputum, chills,  fatigue,  cough,  high_fever,  breathlessness,  sweating,  malaise,  chest_pain,  fast_heart_rate,  rusty_sputum, chills,  fatigue,  cough,  high_fever,  breathlessness,  sweating,  malaise,  phlegm,  chest_pain,  fast_heart_rate,  rusty_sputum, fatigue,  cough,  high_fever,  breathlessness,  sweating,  malaise,  phlegm,  chest_pain,  fast_heart_rate,  rusty_sputum, chills,  fatigue,  cough,  high_fever,  sweating,  malaise,  phlegm,  chest_pain,  fast_heart_rate,  rusty_sputum, chills,  fatigue,  cough,  high_fever,  breathlessness,  malaise,  phlegm,  chest_pain,  fast_heart_rate,  rusty_sputum, chills,  fatigue,  cough,  high_fever,  breathlessness,  sweating,  phlegm,  chest_pain,  fast_heart_rate,  rusty_sputum, chills,  fatigue,  high_fever,  breathlessness,  sweating,  malaise,  phlegm,  chest_pain,  fast_heart_rate,  rusty_sputum","Pneumonia is an infection in one or both lungs. Bacteria, viruses, and fungi cause it. The infection causes inflammation in the air sacs in your lungs, which are called alveoli. The alveoli fill with fluid or pus, making it difficult to breathe.","consult doctor, medication, rest, follow up","Antibiotics (e.g., Azithromycin 500mg daily or Levofloxacin 750mg daily) | Bronchodilators if needed | Oxygen therapy if required",Chest X-ray | Sputum culture | Blood tests | Pulse oximetry,Pulmonologist or Infectious Disease Specialist
psoriasis,"skin_rash,  joint_pain,  skin_peeling,  silver_like_dusting,  small_dents_in_nails, skin_rash,  skin_peeling,  silver_like_dusting,  small_dents_in_nails,  inflammatory_nails, skin_rash,  joint_pain,  silver_like_dusting,  small_dents_in_nails,  inflammatory_nails, skin_rash,  joint_pain,  skin_peeling,  silver_like_dusting,  inflammatory_nails, skin_rash,  joint_pain,  skin_peeling,  small_dents_in_nails,  inflammatory_nails, joint_pain,  skin_peeling,  silver_like_dusting,  small_dents_in_nails,  inflammatory_nails, skin_rash,  joint_pain,  skin_peeling,  silver_like_dusting,  small_dents_in_nails,  inflammatory_nails","Psoriasis is a common skin disorder that forms thick, red, bumpy patches covered with silvery scales. They can pop up anywhere, but most appear on the scalp, elbows, knees, and lower back. Psoriasis can't be passed from person to person. It does sometimes happen in members of the same family.","wash hands with warm soapy water, stop bleeding using pressure, consult doctor, salt baths",,,
tuberculosis,"vomiting,  fatigue,  weight_loss,  cough,  high_fever,  breathlessness,  sweating,  loss_of_appetite,  mild_fever,  yellowing_of_eyes,  swelled_lymph_nodes,  malaise,  phlegm,  chest_pain,  blood_in_sputum, chills,  vomiting,  weight_loss,  cough,  high_fever,  breathlessness,  sweating,  loss_of_appetite,  mild_fever,  yellowing_of_eyes,  swelled_lymph_nodes,  malaise,  phlegm,  chest_pain,  blood_in_sputum, chills,  vomiting,  fatigue,  weight_loss,  cough,  high_fever,  breathlessness,  sweating,  loss_of_appetite,  mild_fever,  yellowing_of_eyes,  swelled_lymph_nodes,  malaise,  phlegm,  chest_pain,  blood_in_sputum, chills,  vomiting,  fatigue,  weight_loss,  cough,  high_fever,  sweating,  loss_of_appetite,  mild_fever,  yellowing_of_eyes,  swelled_lymph_nodes,  malaise,  phlegm,  chest_pain,  blood_in_sputum, chills,  fatigue,  weight_loss,  cough,  high_fever,  breathlessness,  sweating,  loss_of_appetite,  mild_fever,  yellowing_of_eyes,  swelled_lymph_nodes,  malaise,  phlegm,  chest_pain,  blood_in_sputum, chills,  vomiting,  fatigue,  cough,  high_fever,  breathlessness,  sweating,  loss_of_appetite,  mild_fever,  yellowing_of_eyes,  swelled_lymph_nodes,  malaise,  phlegm,  chest_pain,  blood_in_sputum, chills,  vomiting,  fatigue,  weight_loss,  high_fever,  breathlessness,  sweating,  loss_of_appetite,  mild_fever,  yellowing_of_eyes,  swelled_lymph_nodes,  malaise,  phlegm,  chest_pain,  blood_in_sputum, chills,  vomiting,  fatigue,  weight_loss,  cough,  high_fever,  breathlessness,  loss_of_appetite,  mild_fever,  yellowing_of_eyes,  swelled_lymph_nodes,  malaise,  phlegm,  chest_pain,  blood_in_sputum, chills,  vomiting,  fatigue,  weight_loss,  cough,  breathlessness,  sweating,  loss_of_appetite,  mild_fever,  yellowing_of_eyes,  swelled_lymph_nodes,  malaise,  phlegm,  chest_pain,  blood_in_sputum","Tuberculosis (TB) is an infectious disease usually caused by Mycobacterium tuberculosis (MTB) bacteria. Tuberculosis generally affects the lungs, but can also affect other parts of the body. Most infections show no symptoms, in which case it is known as latent tuberculosis.","cover mouth, consult doctor, medication, rest",Isoniazid 300mg daily | Rifampin 600mg daily | Pyrazinamide 15-30mg/kg daily | Ethambutol 15-20mg/kg daily,Chest X-ray | Sputum culture | TB skin test | Interferon-gamma release assay,Infectious Disease Specialist or Pulmonologist
typhoid,"chills,  vomiting,  fatigue,  high_fever,  headache,  nausea,  constipation,  abdominal_pain,  diarrhoea,  belly_pain, chills,  vomiting,  fatigue,  high_fever,  nausea,  constipation,  abdominal_pain,  diarrhoea,  toxic_look_(typhos),  belly_pain, chills,  vomiting,  fatigue,  high_fever,  headache,  nausea,  constipation,  abdominal_pain,  toxic_look_(typhos),  belly_pain, chills,  fatigue,  high_fever,  headache,  nausea,  constipation,  abdominal_pain,  diarrhoea,  toxic_look_(typhos),  belly_pain, chills,  vomiting,  fatigue,  high_fever,  headache,  nausea,  constipation,  abdominal_pain,  diarrhoea,  toxic_look_(typhos), chills,  vomiting,  fatigue,  high_fever,  headache,  nausea,  constipation,  diarrhoea,  toxic_look_(typhos),  belly_pain, chills,  vomiting,  fatigue,  high_fever,  headache,  constipation,  abdominal_pain,  diarrhoea,  toxic_look_(typhos),  belly_pain, chills,  vomiting,  fatigue,  high_fever,  headache,  nausea,  abdominal_pain,  diarrhoea,  toxic_look_(typhos),  belly_pain, chills,  vomiting,  fatigue,  high_fever,  headache,  nausea,  constipation,  abdominal_pain,  diarrhoea,  toxic_look_(typhos),  belly_pain","An acute illness characterized by fever caused by infection with the bacterium Salmonella typhi. Typhoid fever has an insidious onset, with fever, headache, constipation, malaise, chills, and muscle pain. Diarrhea is uncommon, and vomiting is not usually severe.","eat high calorie vegitables, antiboitic therapy, consult doctor, medication",Ceftriaxone 2g IV daily | Azithromycin 500mg daily | Ciprofloxacin 500mg twice daily,Blood culture | Widal test | Stool culture,Infectious Disease Specialist
urinary tract infection,"burning_micturition,  bladder_discomfort,  foul_smell_of urine,  continuous_feel_of_urine, burning_micturition,  bladder_discomfort,  continuous_feel_of_urine, burning_micturition,  bladder_discomfort,  foul_smell_of urine, burning_micturition,  foul_smell_of urine,  continuous_feel_of_urine, bladder_discomfort,  foul_smell_of urine,  continuous_feel_of_urine","Urinary tract infection: An infection of the kidney, ureter, bladder, or urethra. Abbreviated UTI. Not everyone with a UTI has symptoms, but common symptoms include a frequent urge to urinate and pain or burning when urinating.","drink plenty of water, increase vitamin c intake, drink cranberry juice, take probiotics",Trimethoprim-sulfamethoxazole 160/800mg twice daily | Nitrofurantoin 100mg twice daily | Ciprofloxacin 250-500mg twice daily,Urine culture | Urinalysis | Ultrasound if recurrent,Urologist or Primary Care Physician
varicose veins,"fatigue,  cramps,  obesity,  swollen_legs,  swollen_blood_vessels,  prominent_veins_on_calf, fatigue,  cramps,  bruising,  swollen_legs,  swollen_blood_vessels,  prominent_veins_on_calf, cramps,  bruising,  obesity,  swollen_legs,  swollen_blood_vessels,  prominent_veins_on_calf, fatigue,  cramps,  bruising,  obesity,  swollen_legs,  swollen_blood_vessels,  prominent_veins_on_calf, fatigue,  cramps,  bruising,  obesity,  swollen_blood_vessels,  prominent_veins_on_calf, fatigue,  cramps,  bruising,  obesity,  swollen_legs,  swollen_blood_vessels, fatigue,  bruising,  obesity,  swollen_legs,  swollen_blood_vessels,  prominent_veins_on_calf, fatigue,  cramps,  bruising,  obesity,  swollen_legs,  prominent_veins_on_calf","A vein that has enlarged and twisted, often appearing as a bulging, blue blood vessel that is clearly visible through the skin. Varicose veins are most common in older adults, particularly women, and occur especially on the legs.","lie down flat and raise the leg high, use oinments, use vein compression, dont stand still for long","Compression stockings | Venoactive drugs (e.g., Diosmin 500mg twice daily) | Sclerotherapy if needed",Doppler ultrasound | Venography if needed | Duplex scanning,Vascular Surgeon
